"GeneID"	"geno"	"tpm"
"153"	"Olfr1161"	"OMPGFP"	0.625477294598442
"154"	"Olfr1162"	"OMPGFP"	2.78352196894053
"155"	"Olfr1163"	"OMPGFP"	0
"156"	"Olfr1164"	"OMPGFP"	0
"157"	"Olfr1165-ps"	"OMPGFP"	2.03334987173844
"158"	"Olfr1166"	"OMPGFP"	0
"159"	"Olfr1167"	"OMPGFP"	3.63919061445275
"160"	"Olfr1168"	"OMPGFP"	0.439851774911162
"161"	"Olfr117"	"OMPGFP"	10.2789778401496
"162"	"Olfr1170"	"OMPGFP"	1.69764929655501
"163"	"Olfr1171-ps1"	"OMPGFP"	0.234356369809102
"164"	"Olfr1172-ps1"	"OMPGFP"	0
"165"	"Olfr1173"	"OMPGFP"	5.73199518739324
"166"	"Olfr1174-ps"	"OMPGFP"	0.648941448427163
"167"	"Olfr1175-ps"	"OMPGFP"	0.747397332383635
"168"	"Olfr1176"	"OMPGFP"	13.3603392148808
"169"	"Olfr1177-ps"	"OMPGFP"	0.683539411943213
"170"	"Olfr1178"	"OMPGFP"	20.4758332084061
"171"	"Olfr1179"	"OMPGFP"	2.10948153620291
"172"	"Olfr118"	"OMPGFP"	4.23769443104538
"173"	"Olfr1180"	"OMPGFP"	3.5292613486325
"174"	"Olfr1181"	"OMPGFP"	2.47651586942503
"175"	"Olfr1182"	"OMPGFP"	11.3444467988552
"176"	"Olfr1183"	"OMPGFP"	22.4761347794937
"177"	"Olfr1184"	"OMPGFP"	9.93587652783819
"178"	"Olfr1185-ps1"	"OMPGFP"	0
"179"	"Olfr1186"	"OMPGFP"	4.79779183219183
"180"	"Olfr1188"	"OMPGFP"	0
"181"	"Olfr1189"	"OMPGFP"	3.74701022816528
"182"	"Olfr119"	"OMPGFP"	5.04073686749698
"183"	"Olfr1191-ps1"	"OMPGFP"	17.581467793727
"184"	"Olfr1192-ps1"	"OMPGFP"	1.04462318782417
"185"	"Olfr1193"	"OMPGFP"	10.6747879803788
"186"	"Olfr1195"	"OMPGFP"	31.369201012717
"187"	"Olfr1196"	"OMPGFP"	34.9240935815685
"188"	"Olfr1197"	"OMPGFP"	14.2597916940054
"189"	"Olfr1198"	"OMPGFP"	24.2784204423936
"190"	"Olfr1199"	"OMPGFP"	1.60870409455284
"191"	"Olfr12"	"OMPGFP"	5.13497007241825
"192"	"Olfr120"	"OMPGFP"	11.0016347364921
"193"	"Olfr1200"	"OMPGFP"	6.54051747892781
"194"	"Olfr1201"	"OMPGFP"	0.890860435734752
"195"	"Olfr1202"	"OMPGFP"	0.762945397443208
"196"	"Olfr1204"	"OMPGFP"	0
"197"	"Olfr1205"	"OMPGFP"	1.7589302955526
"198"	"Olfr1206"	"OMPGFP"	0
"199"	"Olfr1208"	"OMPGFP"	7.9476471625481
"200"	"Olfr1209"	"OMPGFP"	2.61642952663546
"201"	"Olfr121"	"OMPGFP"	0
"202"	"Olfr1211"	"OMPGFP"	8.92105905084114
"203"	"Olfr1212"	"OMPGFP"	9.33375939022794
"204"	"Olfr1213"	"OMPGFP"	43.8843744737492
"205"	"Olfr1214"	"OMPGFP"	2.89454388969377
"206"	"Olfr1215"	"OMPGFP"	3.70479934436425
"207"	"Olfr1216"	"OMPGFP"	4.76403750777248
"208"	"Olfr1217"	"OMPGFP"	9.77600057694253
"209"	"Olfr1218"	"OMPGFP"	0.606018000988713
"210"	"Olfr1219"	"OMPGFP"	9.71308821514751
"211"	"Olfr122"	"OMPGFP"	3.60360490288663
"212"	"Olfr1220"	"OMPGFP"	36.7596273454207
"213"	"Olfr1221"	"OMPGFP"	19.7141237239103
"214"	"Olfr1222"	"OMPGFP"	42.2739000689694
"215"	"Olfr1223"	"OMPGFP"	2.77576827689964
"216"	"Olfr1224-ps1"	"OMPGFP"	1.61918053491326
"217"	"Olfr1225"	"OMPGFP"	2.29962187875181
"218"	"Olfr1226"	"OMPGFP"	28.6635198934317
"219"	"Olfr1228"	"OMPGFP"	16.3541207475405
"220"	"Olfr1229"	"OMPGFP"	14.0410905092788
"221"	"Olfr123"	"OMPGFP"	2.35172693992069
"222"	"Olfr1230"	"OMPGFP"	0
"223"	"Olfr1231"	"OMPGFP"	1.79492610359212
"224"	"Olfr1232"	"OMPGFP"	0.333623899508035
"225"	"Olfr1233"	"OMPGFP"	0.301432880855894
